trial,batch_size,learning_rate,weight_decay,hidden_layers,dropout,loss_name,use_batchnorm,best_epoch,val_rmse,val_mae
4,48,0.0007,5e-06,"[512, 256, 128]",0.2,huber,True,4,0.4985742859041449,0.3938766909698583
12,48,0.0003,5e-05,"[320, 160]",0.05,mse,True,2,0.520692245771731,0.4109786617267019
2,64,0.001,2e-05,"[256, 128]",0.2,mse,True,7,0.522487668400909,0.419192056174534
15,64,0.001,1e-06,"[256, 128]",0.05,mse,True,9,0.5227934068527695,0.4217050985582996
1,64,0.001,2e-05,"[512, 256, 128]",0.15,mse,True,4,0.5250921318208662,0.42034202569666723
19,32,0.0007,2e-05,"[256, 128]",0.1,mse,True,4,0.5284784965701788,0.42538560151301724
13,64,0.0007,1e-06,"[256, 128]",0.05,mse,True,9,0.5286193033618879,0.4185158717519477
16,32,0.0007,1e-06,"[384, 192, 96]",0.1,mse,True,3,0.5294353501128438,0.42113761194872934
18,32,0.001,2e-05,"[384, 192, 96]",0.05,mse,True,7,0.5307103371526605,0.42125108565441816
10,48,0.0007,1e-05,"[384, 192, 96]",0.1,mse,True,8,0.5308417367200824,0.4216618846267556
3,32,0.001,1e-05,"[256, 128]",0.1,huber,True,4,0.5318939682419723,0.4304135289478001
7,32,0.0007,1e-06,"[448, 224, 112]",0.15,mse,True,9,0.5358412676297665,0.42608801573985006
9,32,0.001,5e-06,"[448, 224, 112]",0.05,huber,True,1,0.5365011573430046,0.43498846033018096
20,48,0.0007,1e-05,"[448, 224, 112]",0.1,mse,True,1,0.540760098952661,0.42121889989834854
8,32,0.001,1e-05,"[512, 256, 128]",0.1,huber,True,4,0.542834495621925,0.43343838682686114
11,32,0.0003,5e-05,"[512, 256, 128]",0.05,mse,True,15,0.5476759872889309,0.44378047937098364
17,48,0.0005,5e-05,"[384, 192, 96]",0.1,huber,True,12,0.5478213160444624,0.4396976063304143
6,48,0.001,2e-05,"[384, 192, 96]",0.2,mse,True,19,0.5502671385956897,0.4436937228362267
14,64,0.001,2e-05,"[512, 256, 128]",0.15,mse,True,6,0.5520111778282188,0.4426838817656604
5,64,0.0007,5e-06,"[448, 224, 112]",0.05,mse,True,4,0.552158830630553,0.44584055578671045
