train_loss,val_loss,train_rmse,val_rmse
1.0991126981568453,0.5203274596821178,0.10053595439882941,0.06917320550656202
1.090857957677888,0.5123655741864984,0.10015770576359365,0.06864194709877448
1.0831773052074638,0.5038356184959412,0.09980450012428327,0.06806817702366688
1.0828822581051605,0.49687574126503686,0.09979090791448991,0.06759640110264713
1.0813217487534865,0.49061036651784723,0.09971895921817303,0.06716884281913056
1.0753312134390394,0.4845115054737438,0.09944234194736593,0.06675007460555182
1.0708086687355793,0.4795276305892251,0.09923301447808283,0.06640583977853066
1.0638413946029588,0.47372089190916583,0.09890968346172987,0.06600257600670943
1.0683896880725334,0.4686027006669478,0.09912087294831136,0.06564506624180289
1.0633383255286757,0.4628726677461104,0.0988862963371138,0.06524246745254482
1.0613799509156514,0.4580842364918102,0.09879518589486531,0.06490412337428715
1.0526945891932313,0.4534561038017273,0.09839011539129158,0.06457541885769952
1.0561054695415966,0.44814745404503564,0.09854940627073824,0.06419629163716092
1.0349592186253647,0.4422366944226352,0.09755778116645764,0.063771530867767
1.0445167619019307,0.43663592772050336,0.09800724372227401,0.0633664386341937
1.0409373595503164,0.43230772560293024,0.09783913653391463,0.06305159115080608
1.026693386690957,0.4273203394629739,0.09716742242247384,0.0626868086243819
1.0299350155398177,0.4226175573739139,0.09732070975472532,0.06234096805620675
1.0373800100364121,0.41765061020851135,0.09767182226001107,0.06197355440151972
1.0339490860847418,0.41358553008599713,0.09751016180256918,0.06167116292277102
1.0349276171529234,0.4094649742950093,0.09755631101455946,0.061363236814916636
1.0272968835724985,0.40858829292384063,0.09719599985628255,0.061297459589358214
1.017756895772342,0.4067816436290741,0.09674362515207902,0.061161808215390676
1.0197258904356088,0.4035445587201552,0.09683717558370532,0.06091797069465167
1.0171091425888643,0.4000345685265281,0.09671283885659292,0.060652481163091826
1.0150289174371165,0.39699464494531805,0.09661388084211066,0.060421592935303775
1.0104060977550562,0.39328239180824975,0.09639363887259565,0.06013841867909291
1.0074252706443148,0.3897752518003637,0.0962513625447944,0.05986965901563522
1.019769744332788,0.38750748471780255,0.09683926253863541,0.05969520476366098
0.9947265418145457,0.38574161583727057,0.09564279094699554,0.059559088181075706
1.0006262958049774,0.3829316903244365,0.09592602521384794,0.05934174454935347
1.000630927203324,0.3794217895377766,0.09592622909755143,0.05906918480612372
0.9878961713296439,0.37539596178314905,0.09531387167865991,0.058754971352847095
0.9928162996404863,0.371632380919023,0.09555091723814517,0.058459698797502666
1.0008981144193358,0.36979595910419116,0.095939034067619,0.05831506736200111
1.0084106135250899,0.3673375330188058,0.09629841966023059,0.05812091782294121
1.005842009935473,0.36790402098135516,0.09617569112450057,0.05816573535775709
1.0001313886031729,0.36841650171713397,0.09590227465129683,0.05820621843886034
1.0019852033095995,0.36868873509493744,0.09599112461923892,0.058227687011786704
1.0084301986424207,0.36876174536618317,0.09629934325668912,0.05823344474609343
1.0047090564455305,0.368888722224669,0.09612150605515157,0.05824347343982438
0.9901058548336545,0.3683649653738195,0.09542003920097661,0.05820213219416743
1.0004811824982978,0.36722967570478265,0.09591907834588234,0.05811237246107973
0.996579700209237,0.3668203353881836,0.09573184769577027,0.05807997641217932
0.994545813264518,0.36662314425815234,0.0956340949557867,0.058064390135304934
0.9969116665166,0.3670512790029699,0.09574779616246172,0.05809824762432597
0.9827241598091689,0.36723078380931506,0.095063735191138,0.05811248865117196
0.9774772548323194,0.367158751596104,0.09480993298800451,0.05810677502870804
1.0091462417189123,0.3678895045410503,0.09633354393752191,0.058164556496714745
0.9949312674000933,0.37009351632811804,0.09565243059550776,0.05833855129147413
0.9970027020412126,0.3696084130894054,0.09574826791257404,0.0583003027335614
0.9775765814217441,0.3701189106160944,0.09481420100653302,0.05834056073818727
0.9648006614205873,0.3695980743928389,0.09419314138449858,0.05829949401507895
0.978476963680366,0.36981933496215125,0.09485150974775877,0.05831693588415964
0.9999960352634562,0.369485540823503,0.09589565140975369,0.05829058938262825
0.9874704317212692,0.3688026558269154,0.09529120488771463,0.058236713206521976
0.97884580999466,0.3685520453886552,0.09487626447733365,0.058216923719720926
1.002491860554136,0.36829944361339917,0.09601281137898922,0.05819697347557996
0.9788103897876927,0.36847940358248626,0.09487455644648356,0.058211190349729575
0.9897904269800984,0.3686563968658447,0.09540521224301234,0.058225191816767025
0.9794272439820426,0.36940575729716907,0.09490444745489528,0.058284321974390235
0.9850532277464279,0.36961518634449353,0.09517663531406535,0.05830084386978748
0.9954975792046251,0.3699745996431871,0.09567986906440423,0.05832917362344017
0.9762952083290504,0.37011750448833813,0.09474776217584625,0.05834040908424623
0.9921526669575076,0.37038174542513763,0.09551900064820762,0.058361201950314225
0.9857659761247963,0.37085281989791175,0.095206201601301,0.058398290302256954
0.9895900335217932,0.37100864269516687,0.0953951180514492,0.05841057876057046
0.9760778457513584,0.3711235983805223,0.0947420363224862,0.05841970224018137
0.9826497194802233,0.3712827590378848,0.09506045809740447,0.05843221531204853
0.9805219255644699,0.3715454881841486,0.09494125968891973,0.05845285801595833
0.9856412759408575,0.3713778988881545,0.09519851251075445,0.05843966409939589
0.9778343920637234,0.3715802349827506,0.09482289361469791,0.05845559840767565
1.0042309690578817,0.37182308597998187,0.09608492306742089,0.05847464217483812
0.9690681694470016,0.3722563087940216,0.09440121869914676,0.05850875372007971
0.9647410423884838,0.37223510579629376,0.09417924365868997,0.05850706841332734
